RIC;Timestamp;Venue;Volume;VWAP;Bid;Ask
SHEL.L;26-Sep-2024 10:31:17.499;XLON;121;2,439.6580;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:17.499;XLON;202;2,439.6580;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:17.499;XLON;747;2,439.6570;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:17.499;XLON;288;2,439.6570;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:17.499;XLON;162;2,439.6570;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:17.499;XLON;259;2,439.6570;2,442.5000;2,443.5000
TTEF.PA;26-Sep-2024 10:31:17.432;;55;58.8162;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:16.197;;25;58.8162;58.9000;58.9100
BNPP.PA;26-Sep-2024 10:31:15.827;;8;63.3212;63.6600;63.6800
BNPP.PA;26-Sep-2024 10:31:15.827;;100;63.3212;63.6600;63.6800
BNPP.PA;26-Sep-2024 10:31:14.825;;110;63.3211;63.6700;63.6800
BNPP.PA;26-Sep-2024 10:31:14.809;;7;63.3209;63.6800;63.6900
TTEF.PA;26-Sep-2024 10:31:14.719;;8;58.8162;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:14.629;;170;58.8162;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:14.629;;107;58.8162;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:14.629;;41;58.8162;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:14.596;;14;58.8162;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:31:14.520;;123;58.8162;58.9100;58.9300
TTEF.PA;26-Sep-2024 10:31:14.520;;17;58.8162;58.9100;58.9300
TTEF.PA;26-Sep-2024 10:31:14.520;;232;58.8162;58.9100;58.9300
TTEF.PA;26-Sep-2024 10:31:14.520;;49;58.8162;58.9100;58.9300
TTEF.PA;26-Sep-2024 10:31:14.520;;69;58.8162;58.9100;58.9300
TTEF.PA;26-Sep-2024 10:31:14.520;;148;58.8162;58.9100;58.9300
TTEF.PA;26-Sep-2024 10:31:14.520;;14;58.8162;58.9200;58.9300
TTEF.PA;26-Sep-2024 10:31:14.475;;49;58.8162;58.9200;58.9300
TTEF.PA;26-Sep-2024 10:31:14.460;;232;58.8162;58.9100;58.9300
SHEL.L;26-Sep-2024 10:31:13.194;XLON;165;2,439.6570;2,443.0000;2,443.5000
SHEL.L;26-Sep-2024 10:31:13.193;XLON;151;2,439.6570;2,442.5000;2,443.5000
SHEL.L;26-Sep-2024 10:31:13.193;XLON;739;2,439.6570;2,443.0000;2,443.5000
SHEL.L;26-Sep-2024 10:31:13.193;XLON;202;2,439.6560;2,443.0000;2,443.5000
SHEL.L;26-Sep-2024 10:31:13.193;XLON;263;2,439.6560;2,443.0000;2,443.5000
SHEL.L;26-Sep-2024 10:31:11.004;XLON;1;2,439.6560;2,443.0000;2,443.5000
SHEL.L;26-Sep-2024 10:31:10.525;XLON;7;2,439.6560;2,442.5000;2,443.0000
TTEF.PA;26-Sep-2024 10:31:10.373;;154;58.8161;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:10.373;;132;58.8161;58.9000;58.9100
BNPP.PA;26-Sep-2024 10:31:10.099;;13;63.3209;63.6900;63.7000
SHEL.L;26-Sep-2024 10:31:09.838;XLON;146;2,439.6560;2,442.5000;2,443.0000
TTEF.PA;26-Sep-2024 10:31:09.107;;135;58.8161;58.8900;58.9000
BNPP.PA;26-Sep-2024 10:31:09.038;;150;63.3209;63.6800;63.7000
TTEF.PA;26-Sep-2024 10:31:07.738;;8;58.8161;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:06.852;;149;58.8161;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:06.852;;53;58.8161;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:06.022;;87;58.8161;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:31:06.005;;232;58.8161;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:31:06.005;;209;58.8161;58.8800;58.8900
BNPP.PA;26-Sep-2024 10:31:05.933;;53;63.3206;63.6800;63.6900
BNPP.PA;26-Sep-2024 10:31:05.933;;38;63.3205;63.6800;63.6900
BNPP.PA;26-Sep-2024 10:31:05.933;;150;63.3205;63.6800;63.6900
TTEF.PA;26-Sep-2024 10:31:05.396;;8;58.8161;58.8700;58.8800
SHEL.L;26-Sep-2024 10:31:02.386;XLON;550;2,439.6550;2,442.0000;2,443.0000
TTEF.PA;26-Sep-2024 10:31:02.073;;8;58.8161;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:31:01.171;;50;58.8161;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:31:00.850;;61;58.8161;58.8700;58.8800
BNPP.PA;26-Sep-2024 10:30:54.165;;51;63.3203;63.6900;63.7100
BNPP.PA;26-Sep-2024 10:30:54.162;;36;63.3202;63.7000;63.7100
BNPP.PA;26-Sep-2024 10:30:54.162;;88;63.3201;63.7000;63.7100
TTEF.PA;26-Sep-2024 10:30:53.780;;16;58.8161;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:53.779;;71;58.8161;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:53.779;;159;58.8161;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:53.779;;68;58.8160;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:53.779;;150;58.8160;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:53.768;;7;58.8160;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:53.768;;577;58.8160;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:53.768;;636;58.8160;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:53.768;;79;58.8160;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:53.768;;2;58.8160;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:53.768;;232;58.8160;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:53.768;;317;58.8160;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:52.238;;116;58.8159;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:52.238;;200;58.8159;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:50.083;;26;58.8159;58.8600;58.8700
SHEL.L;26-Sep-2024 10:30:48.460;SINT;4;2,439.6550;2,440.5000;2,441.5000
SHEL.L;26-Sep-2024 10:30:47.318;SINT;21;2,439.6550;2,440.5000;2,441.5000
SHEL.L;26-Sep-2024 10:30:47.177;XLON;28;2,439.6550;2,440.5000;2,441.5000
TTEF.PA;26-Sep-2024 10:30:47.127;;83;58.8159;58.8500;58.8700
TTEF.PA;26-Sep-2024 10:30:47.127;;71;58.8159;58.8500;58.8700
TTEF.PA;26-Sep-2024 10:30:47.103;;7;58.8159;58.8600;58.8800
TTEF.PA;26-Sep-2024 10:30:47.103;;187;58.8159;58.8600;58.8800
TTEF.PA;26-Sep-2024 10:30:47.103;;181;58.8159;58.8600;58.8800
TTEF.PA;26-Sep-2024 10:30:47.103;;268;58.8159;58.8600;58.8800
TTEF.PA;26-Sep-2024 10:30:47.103;;232;58.8159;58.8600;58.8800
SHEL.L;26-Sep-2024 10:30:47.049;XLON;516;2,439.6550;2,441.0000;2,441.5000
SHEL.L;26-Sep-2024 10:30:47.049;XLON;738;2,439.6550;2,441.5000;2,442.0000
SHEL.L;26-Sep-2024 10:30:47.048;XLON;244;2,439.6550;2,441.5000;2,442.0000
SHEL.L;26-Sep-2024 10:30:46.674;XLON;742;2,439.6540;2,442.0000;2,442.5000
SHEL.L;26-Sep-2024 10:30:46.674;XLON;1,246;2,439.6540;2,442.0000;2,442.5000
SHEL.L;26-Sep-2024 10:30:46.674;XLON;167;2,439.6540;2,442.0000;2,442.5000
SHEL.L;26-Sep-2024 10:30:46.674;XLON;695;2,439.6530;2,442.0000;2,442.5000
SHEL.L;26-Sep-2024 10:30:46.674;XLON;252;2,439.6530;2,442.0000;2,442.5000
TTEF.PA;26-Sep-2024 10:30:46.316;;36;58.8159;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:46.169;;8;58.8159;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:46.169;;44;58.8159;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:46.162;;60;58.8159;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:46.162;;60;58.8159;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:45.465;;132;58.8159;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:45.363;;83;58.8159;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:45.363;;187;58.8159;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:45.363;;71;58.8158;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:45.363;;64;58.8158;58.8700;58.8800
TTEF.PA;26-Sep-2024 10:30:45.363;;170;58.8158;58.8700;58.8800
BNPP.PA;26-Sep-2024 10:30:45.351;;8;63.3200;63.7000;63.7200
BNPP.PA;26-Sep-2024 10:30:45.351;;150;63.3200;63.7000;63.7200
BNPP.PA;26-Sep-2024 10:30:44.413;;50;63.3197;63.7000;63.7200
BNPP.PA;26-Sep-2024 10:30:43.650;;150;63.3196;63.7000;63.7100
TTEF.PA;26-Sep-2024 10:30:40.234;;5;58.8158;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:40.063;;8;58.8158;58.8800;58.8900
BNPP.PA;26-Sep-2024 10:30:38.464;;150;63.3194;63.6800;63.7000
TTEF.PA;26-Sep-2024 10:30:38.304;;45;58.8158;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:38.304;;187;58.8158;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:38.304;;73;58.8158;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:30:38.304;;2;58.8158;58.8800;58.8900
BNPP.PA;26-Sep-2024 10:30:37.661;;104;63.3191;63.6700;63.6900
TTEF.PA;26-Sep-2024 10:30:37.145;;10;58.8158;58.8800;58.8900
SHEL.L;26-Sep-2024 10:30:36.373;XLON;984;2,439.6520;2,442.0000;2,442.5000
SHEL.L;26-Sep-2024 10:30:36.373;XLON;259;2,439.6520;2,442.0000;2,442.5000
SHEL.L;26-Sep-2024 10:30:36.373;XLON;450;2,439.6520;2,442.0000;2,442.5000
SHEL.L;26-Sep-2024 10:30:36.373;XLON;39;2,439.6520;2,442.0000;2,442.5000
SHEL.L;26-Sep-2024 10:30:36.372;XLON;768;2,439.6520;2,442.0000;2,442.5000
TTEF.PA;26-Sep-2024 10:30:33.791;;242;58.8158;58.8800;58.9000
SHEL.L;26-Sep-2024 10:30:32.540;XLON;110;2,439.6510;2,442.5000;2,443.0000
SHEL.L;26-Sep-2024 10:30:32.535;XLON;120;2,439.6510;2,442.5000;2,443.0000
SHEL.L;26-Sep-2024 10:30:32.535;XLON;16;2,439.6510;2,442.5000;2,443.0000
SHEL.L;26-Sep-2024 10:30:32.535;XLON;100;2,439.6510;2,442.5000;2,443.0000
TTEF.PA;26-Sep-2024 10:30:31.483;;130;58.8158;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:30:30.602;;14;58.8158;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.588;;6;58.8158;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.552;;121;58.8158;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.542;;49;58.8158;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;155;58.8158;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;204;58.8158;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;360;58.8157;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;7;58.8157;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;577;58.8157;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;114;58.8157;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;232;58.8157;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;312;58.8156;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.483;;39;58.8156;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:30.269;;125;58.8156;58.8900;58.9100
TTEF.PA;26-Sep-2024 10:30:30.269;;107;58.8156;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:30:28.920;;15;58.8156;58.8900;58.9100
BNPP.PA;26-Sep-2024 10:30:27.416;;150;63.3190;63.6600;63.6800
TTEF.PA;26-Sep-2024 10:30:25.460;;81;58.8156;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:30:25.055;;50;58.8156;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:30:23.945;;187;58.8156;58.8900;58.9100
TTEF.PA;26-Sep-2024 10:30:23.945;;74;58.8156;58.8900;58.9100
TTEF.PA;26-Sep-2024 10:30:23.945;;164;58.8156;58.8900;58.9100
TTEF.PA;26-Sep-2024 10:30:23.945;;232;58.8156;58.8900;58.9100
BNPP.PA;26-Sep-2024 10:30:23.738;;102;63.3188;63.6600;63.6700
SHEL.L;26-Sep-2024 10:30:21.821;XLON;724;2,439.6510;2,442.5000;2,443.0000
SHEL.L;26-Sep-2024 10:30:21.821;XLON;311;2,439.6510;2,442.5000;2,443.0000
SHEL.L;26-Sep-2024 10:30:21.821;XLON;125;2,439.6510;2,442.5000;2,443.0000
SHEL.L;26-Sep-2024 10:30:20.980;XLON;50;2,439.6510;2,442.5000;2,443.0000
TTEF.PA;26-Sep-2024 10:30:20.092;;69;58.8155;58.8900;58.9100
TTEF.PA;26-Sep-2024 10:30:20.092;;152;58.8155;58.8900;58.9100
TTEF.PA;26-Sep-2024 10:30:20.092;;232;58.8155;58.8900;58.9100
BNPP.PA;26-Sep-2024 10:30:19.884;;8;63.3186;63.6600;63.6700
BNPP.PA;26-Sep-2024 10:30:19.884;;21;63.3186;63.6600;63.6700
BNPP.PA;26-Sep-2024 10:30:19.877;;113;63.3186;63.6700;63.6800
SHEL.L;26-Sep-2024 10:30:17.660;XLON;1,434;2,439.6500;2,443.0000;2,443.5000
SHEL.L;26-Sep-2024 10:30:17.659;XLON;319;2,439.6490;2,443.0000;2,443.5000
TTEF.PA;26-Sep-2024 10:30:17.184;;3;58.8155;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:17.135;;4;58.8155;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:17.085;;30;58.8155;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:16.742;;214;58.8155;58.9000;58.9200
BNPP.PA;26-Sep-2024 10:30:16.739;;8;63.3184;63.6700;63.6900
BNPP.PA;26-Sep-2024 10:30:16.733;;48;63.3184;63.6700;63.6800
BNPP.PA;26-Sep-2024 10:30:16.733;;150;63.3183;63.6700;63.6800
BNPP.PA;26-Sep-2024 10:30:15.014;;150;63.3181;63.6900;63.7100
BNPP.PA;26-Sep-2024 10:30:15.012;;99;63.3178;63.6900;63.7100
BNPP.PA;26-Sep-2024 10:30:15.012;;51;63.3177;63.6900;63.7100
TTEF.PA;26-Sep-2024 10:30:14.869;;28;58.8155;58.9000;58.9200
TTEF.PA;26-Sep-2024 10:30:13.610;;7;58.8155;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:13.544;;59;58.8155;58.9100;58.9200
TTEF.PA;26-Sep-2024 10:30:13.425;;232;58.8155;58.9000;58.9200
TTEF.PA;26-Sep-2024 10:30:13.425;;7;58.8155;58.9000;58.9200
TTEF.PA;26-Sep-2024 10:30:13.425;;232;58.8155;58.9000;58.9200
TTEF.PA;26-Sep-2024 10:30:13.425;;2;58.8155;58.9000;58.9200
BNPP.PA;26-Sep-2024 10:30:12.865;;150;63.3176;63.6700;63.6900
