Latitude;Longitude;rp100;rp1000
54,1721172;21,1337038;0;0
43,7032472;7,2177978;0,59120369;0,830731273
41,0854355;-8,2455993;0,587377369;0,806826472
39,5475;-118,5556;0;0
63,9304;19,6661;0;0
44,3172145;27,9896648;0,210463285;0,343472064
38,9209;-1,7202;0;0
50,8273;19,1247;0,192489684;0,261295706
64,6667;27,1333;0,047313806;0,080555066
43,1040433;-9,2215228;0;0
49,1275;18,3642;0,372389674;0,653817177
38,7436214;-9,1952226;0;0
57,0599;9,1563;0,230833143;0,317959189
40,9962123;14,785713;0;0
42,3227;0,2438;0;0
40,9099723;-84,5084677;0;0
33,7717554;-116,6339863;0;0
-23,0748;27,9912;0;0
65,572;15,1816;0,957380652;1,570944786
